date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry,outcome,winner_entry
2018-01-01,Doha,B,3,H,false,52,R16,Stefanos Tsitsipas,,Greece,GRE,91,22,1800,Richard Gasquet,5,France,FRA,31,-13,2070,6-3 6-4,,,Q
2018-01-01,Doha,B,3,H,false,52,R32,Stefanos Tsitsipas,,Greece,GRE,91,19,1781,Florian Mayer,,Germany,GER,69,-13,1899,4-6 7-5 6-4,,,Q
2017-10-16,Antwerp,B,3,H,true,64,SF,Diego Sebastian Schwartzman,4,Argentina,ARG,26,4,2015,Stefanos Tsitsipas,,Greece,GRE,122,-6,1788,6-3 7-5,Q,,
2017-10-16,Antwerp,B,3,H,true,64,QF,Stefanos Tsitsipas,,Greece,GRE,122,30,1758,David Goffin,1,Belgium,BEL,10,-15,2134,2-6 7-6(1) 7-6(4),,,Q
2017-10-16,Antwerp,B,3,H,true,64,R16,Stefanos Tsitsipas,,Greece,GRE,122,28,1730,Ivo Karlovic,,Croatia,CRO,51,-14,1910,7-6(4) 5-6 RET,,RET,Q
2017-10-16,Antwerp,B,3,H,true,64,R32,Stefanos Tsitsipas,,Greece,GRE,122,37,1693,Pablo Cuevas,6,Uruguay,URU,33,-15,1922,6-1 6-4,,,Q
2017-10-09,Shanghai Masters,M,3,H,false,99,R32,John Isner,12,United States,USA,16,2,2066,Stefanos Tsitsipas,,Greece,GRE,131,-6,1699,7-6(2) 7-6(9),Q,,
2017-10-09,Shanghai Masters,M,3,H,false,99,R64,Stefanos Tsitsipas,,Greece,GRE,131,71,1628,Karen Khachanov,,Russian Federation,RUS,40,-18,1931,7-5 6-3,,,Q
2017-10-02,Tokyo,A,3,H,false,65,R32,Marin Cilic,1,Croatia,CRO,5,1,2179,Stefanos Tsitsipas,,Greece,GRE,115,-3,1631,6-3 6-2,Q,,
2017-09-25,Chengdu,B,3,H,false,67,R32,Jared Donaldson,,United States,USA,58,3,1920,Stefanos Tsitsipas,,Greece,GRE,117,-11,1642,6-7(2) 7-5 7-5,Q,,
2017-09-18,Metz,B,3,H,true,74,R32,Benoit Paire,7,France,FRA,41,4,1902,Stefanos Tsitsipas,,Greece,GRE,120,-12,1654,6-2 6-4,Q,,
2017-07-03,Wimbledon,G,5,G,false,78,R128,Dusan Lajovic,,Serbia,SRB,79,8,1862,Stefanos Tsitsipas,,Greece,GRE,192,-20,1674,6-4 6-4 6-4,,,
2017-05-29,Roland Garros,G,5,C,false,45,R128,Ivo Karlovic,23,Croatia,CRO,24,4,1968,Stefanos Tsitsipas,,Greece,GRE,205,-12,1686,7-6(5) 7-5 6-4,,,
2017-05-01,Istanbul,B,3,C,false,37,R32,Damir Dzumhur,,Bosnia and Herzegovina,BIH,92,5,1887,Stefanos Tsitsipas,,Greece,GRE,207,-12,1698,6-4 7-5,Q,,
2017-02-20,Marseille,B,3,H,true,82,R32,Mikhail Youzhny,,Russian Federation,RUS,87,6,1874,Stefanos Tsitsipas,,Greece,GRE,205,-12,1710,6-1 4-6 7-5,WC,,
2017-02-13,Rotterdam,A,3,H,true,72,R32,Jo Wilfried Tsonga,6,France,FRA,14,1,2178,Stefanos Tsitsipas,,Greece,GRE,205,-3,1713,6-4 7-6(2),WC,,
